0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	-1	0	0	0	0	0	0	1	-1	1	-2	2
0	0	5	-4	10	-7	10	-6	-1	1	-22	14	-47	31	-64	49
-63	65	-42	78	-6	86	33	82	66	62	86	25	91	-20	82	-55
62	-63	31	-40	-5	4	-40	46	-66	64	-77	51	-75	14	-68	-31
-64	-67	-68	-88	-76	-94	-78	-85	-61	-61	-25	-22	21	22	56	55
63	63	37	39	-9	-5	-50	-46	-63	-64	-42	-49	3	-10	46	35
64	67	49	80	10	77	-35	70	-67	63	-79	61	-75	60	-67	61
-64	65	-70	72	-77	79	-76	78	-61	60	-32	23	5	-22	40	-56
68	-63	86	-37	92	8	84	48	59	64	19	47	-25	7	-57	-37
-62	-68	-37	-80	8	-77	48	-69	64	-63	48	-61	8	-60	-37	-61
-69	-65	-80	-73	-75	-80	-67	-78	-64	-58	-71	-21	-79	22	-78	55
-58	63	-21	44	22	6	55	-36	63	-70	43	-90	3	-95	-39	-83
-69	-57	-80	-18	-78	24	-70	55	-63	63	-59	43	-59	4	-61	-39
-65	-69	-72	-80	-77	-76	-74	-67	-59	-64	-30	-71	6	-79	42	-77
70	-57	86	-18	89	25	79	57	57	63	25	42	-12	3	-46	-39
-69	-72	-76	-90	-73	-94	-66	-82	-64	-55	-70	-14	-76	29	-74	59
-57	61	-27	33	10	-12	44	-51	71	-64	87	-44	91	-3	81	41
54	71	13	80	-31	74	-60	66	-60	65	-31	71	15	79	53	76
64	55	43	16	1	-29	-42	-60	-71	-60	-81	-30	-77	18	-68	55
-63	62	-61	32	-63	-17	-64	-55	-64	-61	-63	-31	-63	18	-64	56
-64	61	-64	32	-64	-15	-64	-54	-64	-63	-64	-41	-65	1	-64	44
-64	72	-63	79	-64	73	-64	66	-64	65	-63	72	-61	80	-62	76
-66	53	-74	14	-80	-29	-76	-59	-52	-62	-13	-37	32	4	61	46
59	72	26	80	-22	74	-57	66	-60	65	-28	72	20	79	57	75
61	52	30	12	-18	-31	-55	-59	-63	-61	-38	-35	5	7	47	47
73	73	80	80	75	76	67	68	62	62	60	60	60	60	62	62
67	67	75	75	81	81	75	75	51	50	11	11	-31	-32	-59	-60
-61	-61	-35	-36	7	5	48	46	73	76	79	91	73	90	65	76
65	50	71	17	77	-20	72	-52	52	-72	20	-79	-17	-75	-50	-68
-75	-62	-89	-60	-90	-62	-77	-64	-47	-64	-4	-62	38	-60	63	-62
56	-68	20	-75	-27	-79	-60	-72	-59	-52	-25	-20	22	17	57	51
62	76	37	90	-6	91	-48	76	-78	46	-91	4	-89	-36	-74	-61
-49	-59	-17	-31	18	11	51	51	77	75	90	81	89	75	74	67
48	62	15	60	-20	60	-52	62	-77	67	-91	75	-92	80	-76	73
-44	47	-2	5	38	-38	62	-63	59	-55	32	-18	-9	30	-50	61
