0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
-1	1
-1	1
0	0
3	-4
7	-8
6	-8
-1	1
-15	20
-33	44
-51	60
-64	56
-68	27
-66	-15
-60	-52
-56	-63
-56	-42
-59	-1
-62	39
-64	56
-62	44
-58	9
-55	-32
-56	-67
-61	-87
-66	-93
-65	-85
-54	-62
-31	-24
-1	19
30	54
57	64
76	43
85	1
80	-39
62	-54
33	-36
-4	5
-40	42
-68	53
-83	31
-83	-12
-72	-52
-50	-66
-23	-48
7	-7
35	37
55	69
63	83
61	80
55	72
53	66
58	65
65	67
65	68
48	66
14	61
-26	56
-58	52
-67	52
-49	54
-14	57
25	62
56	69
73	78
77	86
68	83
46	63
15	23
-20	-25
-45	-60
-49	-66
-29	-38
8	12
40	55
50	67
30	41
-7	-10
-40	-55
-49	-68
-29	-40
8	11
40	56
48	68
29	39
-6	-12
-38	-56
-49	-68
-37	-42
-9	8
25	52
54	71
74	57
83	21
80	-20
65	-55
39	-78
6	-88
-27	-84
-53	-64
-69	-29
-75	12
-74	41
-69	45
-60	20
-52	-21
-46	-58
-48	-71
-57	-57
-69	-21
-75	20
-67	54
-44	77
-9	86
25	82
52	66
65	39
69	6
69	-26
74	-51
83	-65
91	-68
87	-58
63	-38
19	-9
-32	21
-67	41
-69	42
-34	22
19	-10
62	-37
70	-43
37	-24
-17	9
-62	37
-71	42
-39	22
15	-11
61	-37
72	-41
46	-19
-4	15
-52	40
-79	39
-79	9
-62	-33
-46	-66
-43	-72
-55	-47
-73	-6
-80	29
-67	43
-32	32
13	3
55	-27
81	-46
90	-52
86	-47
78	-42
73	-42
73	-49
74	-56
75	-52
74	-30
70	9
63	50
51	75
32	68
6	29
-20	-24
-36	-65
-38	-74
-23	-46
2	4
28	53
44	85
48	94
44	89
39	80
39	74
45	74
51	75
47	76
29	75
-2	72
-38	64
-66	50
-79	27
-76	-2
-62	-34
-45	-63
-32	-85
-27	-97
-27	-98
-32	-87
-40	-66
-50	-38
-61	-7
-72	22
-80	45
-85	58
-85	58
-81	47
-73	25
-60	-4
-48	-34
-38	-63
-34	-88
-35	-104
-38	-107
-37	-93
-30	-60
-17	-13
1	35
22	69
45	79
66	61
82	25
84	-15
67	-48
34	-68
-3	-76
-29	-78
-30	-78
-4	-75
35	-66
69	-47
82	-16
